,0,1,2,3
IP,35.204.7.190,35.204.197.82,35.204.4.10,35.204.193.154
VM,louwjlabuschagne_gmail_com@35.204.7.190 ✅,louwjlabuschagne_gmail_com@35.204.197.82 ✅,louwjlabuschagne_gmail_com@35.204.4.10 ✅,louwjlabuschagne_gmail_com@35.204.193.154 ✅
ARCHITECTURE,x86_64,x86_64,x86_64,x86_64
BOGOMIPS,4000.37,4000.37,4000.36,4000.36
BYTEORDER,LittleEndian,LittleEndian,LittleEndian,LittleEndian
CORESPERSOCKET,1,1,1,1
CPUFAMILY,6,6,6,6
CPUMHZ,2000.186,2000.186,2000.184,2000.184
CPUOPMODES,"32-bit,64-bit","32-bit,64-bit","32-bit,64-bit","32-bit,64-bit"
CPUS,1,2,1,2
HYPERVISORVENDOR,KVM,KVM,KVM,KVM
L1DCACHE,32K,32K,32K,32K
L1ICACHE,32K,32K,32K,32K
L2CACHE,256K,256K,256K,256K
L3CACHE,56320K,56320K,56320K,56320K
MODEL,85,85,85,85
MODELNAME,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz
NUMANODE0CPUS,0,"0,1",0,"0,1"
NUMANODES,1,1,1,1
ONLINECPUSLIST,0,"0,1",0,"0,1"
SOCKETS,1,1,1,1
STEPPING,3,3,3,3
THREADSPERCORE,1,2,1,2
VENDORID,GenuineIntel,GenuineIntel,GenuineIntel,GenuineIntel
VIRTUALIZATIONTYPE,full,full,full,full
